ID,Document Title,PDF Drive Link,Video Drive Link
1,TRUST REGISTRATION,,
2,NOC,,
3,RECOGNITION CERTIFICATE,,
4,BUILDING SAFETY CERTIFICATE,,
5,FIRE SAFETY CERTIFICATE,,
6,WATER HEALTH & SANITARY CERTIFICATE,,
7,FEE STRUCTURE OF THE SCHOOL,,
8,ANNUAL ACADEMIC CALENDAR,,
9,SMC (SCHOOL MANAGEMENT COMMITTEE),,
10,PTA (PARENT TEACHER ASSOCIATION),,
11,RTE COMPLIANCE,,
12,TEACHING STAFF DETAILS,,
13,CERTIFICATE OF LAND,,
14,SELF CERTIFICATE,,
15,LIBRARY INFRASTRUCTURE,,
16,SCHOOL COMPOUND,,
17,CWSN - ACCESSIBILITY & FACILITIES,,
18,SCIENCE LAB,,
19,SCHOOL ENTRY VIEW & CLASS ROOMS,,
20,COMPUTER LAB,,
